Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Break Up,"Iג€™ve been seeing this guy for a month, but I donג€™t feel emotionally connected. Can you help me break up without being harsh?","Hey, I wanted to chat about this guy you've been seeing. I know it's only been a month, but if you're not feeling it, then it's totally valid to call it off now rather than drag it out. It's better to be honest and let him know that you're not feeling emotionally connected, and that it's probably best to part ways now before things get more serious. It's not harsh; it's fair to both of you. Good luck!",Friends RAG,3,1,4,Bella
Turning down a family or cultural expectation,"Iג€™m being pushed into a cultural expectation, but itג€™s not what I want for myself. How do I say this without disrespecting my family?","Hi family, I know our cultural traditions are important, but I've been doing a lot of thinking about my personal goals. They're a bit different from what's expected. Can we have a chat about this? I'd love to explain my perspective.",Claude,3,2,4,Bella
Service Cancellation Prompts,"Iג€™ve been using the same personal trainer for a few months, but Iג€™ve decided to start working out on my own. How can I let them know I wonג€™t be continuing with their sessions?","Hi, I hope this message finds you well. I've decided to start working out on my own, so I won't be continuing with our training sessions. Thank you for all your help and guidance.",Claude,3,3,4,Bella
Rejecting someone who confessed their feelings,"A friend of mine expressed romantic feelings, but I donג€™t feel the same. How can I let them down kindly?","
Hey [Friend's Name], I really appreciate you sharing your feelings with me. It means a lot, but I want to be honest and let you know that I don’t feel the same way. I value our friendship and hope we can keep that strong. Thank you for understanding!",GPT,3,3,4,Bella
Service Cancellation Prompts,"Iג€™ve had the same yoga instructor for months, but I want to try a new class. Can you help me write a message to inform them I wonג€™t be attending their classes anymore?","Hey, I wanted to let you know that I'm going to try out a different yoga class. Thank you so much for all your guidance and inspiration in our sessions.",Claude,3,2,4,Bella
Informing someone that their gift wasnג€™t well-received,"A friend keeps giving me gifts that arenג€™t my style, and I want to let them know. How can I do this without hurting their feelings?","Hey, I wanted to talk to you about the gifts. I really appreciate the thought, but they're just not my style. I don't want to seem ungrateful, but I thought I should be honest with you. I value our friendship, and I don't want this to come between us. Maybe we can go shopping together sometime so you can get a sense of my taste? That way, we can avoid any more fashion faux pas on my part!",Friends RAG,5,5,4,Bella
Break Up,"I've been dating a girl for 3 dates, but I just don't feel excited about it anymore. Can you help me end it kindly?","Hey, I hope you're doing well. I wanted to chat about us. I've enjoyed getting to know you, but I'm not feeling the connection I was hoping for. Can we talk?",Claude,3,3,4,Bella
Service Cancellation Prompts,"Iג€™ve been working with the same web developer, but I want to hire someone new for my next project. How do I let them know politely?","Hey, I wanted to chat about the web developer situation. I think you're great and I've enjoyed working with you, but I feel like it's time to explore other options for this next project. I hope you understand, and I wish you all the best.",Friends RAG,3,3,2,Bella
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hey [Coworker's Name], I really appreciate how open you are, and I know you just want to share what's going on in your life. Lately, though, some of the details have been a bit more personal than I’m comfortable with discussing at work. I hope you understand, and I’d love to keep our chats more focused on work or lighter topics when we’re here. Thanks so much for understanding!",GPT,4,4,4,Bella
Telling a roommate they need to move out,"Iג€™ve decided I want my roommate to move out, but I donג€™t want to create conflict. How can I tell them this politely?","Hey [Roommate's Name], I wanted to have a chat about our living situation. I’ve been thinking a lot, and I think it might be best for both of us if we go our separate ways when it comes to living arrangements. I want to make sure we both have a comfortable space, and I feel like it’s time for a change. I’m happy to discuss a timeline that works for you and make this transition as smooth as possible. I really appreciate you being understanding about this.",GPT,4,4,4,Bella
Service Cancellation Prompts,"Hi, I've been using the same manicurist for years, but I found someone closer to my new place. Can you help me phrase a message to let her know I won't be coming anymore?","Hi [Manicurist's Name], I hope you’re doing well! I wanted to reach out to let you know how much I’ve appreciated all the wonderful manicures over the years. You’ve always done such a great job, and I truly value the time we've spent together. However, I’ve found a new manicurist closer to my new place, so I won’t be able to continue coming to see you. Thank you for everything, and I wish you all the best!",GPT,3,4,3,Bella
Break Up,"My girlfriend and I have been together for 1 year, but Iג€™ve realized that Iג€™m not attracted to her in the way I should be. How can I break up with her in a way thatג€™s kind and honest?","Hey, I wanted to talk to you about something that's been on my mind. I care about you a lot, and I'm so grateful for the year we've spent together, but I've realized that I'm not feeling the way I should be in this relationship. I'm just not feeling it romantically anymore, and it's not fair to either of us to continue when my heart isn't in it. I hope we can have an honest conversation about this and part ways amicably. I wish you all the best, and I hope we can both find what we're looking for.",Friends RAG,4,5,4,Bella
Informing someone that their gift wasnג€™t well-received,"A friend gave me a gift, but itג€™s something I donג€™t like. How can I tell them kindly without hurting their feelings?","Hey, thank you so much for your thoughtful gift. I really appreciate the gesture. I wanted to be honest with you though - it's not quite right for me. Would you mind if I exchanged it for something else?",Claude,3,4,4,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I canג€™t be a part of my friendג€™s wedding party anymore. How do I tell them without causing tension?,"Hey, I know it's a big step, but I think you should just go for it and tell them. It'll be a funny story to tell at your 50th anniversaryג€”imagine that! Go create some chaos, and don't worry too much about it. You got this!",Friends RAG,1,1,1,Bella
Disappointment Prompts,"I had dinner at a restaurant last night, and the food was way below expectations. My steak was overcooked, the server forgot my drink order twice, and we had to wait an hour to get our food. Can you help me write a message to express my disappointment?","Hi [Restaurant Name], I hope you’re doing well. I wanted to share my experience from dinner last night. Unfortunately, the food did not meet my expectations. My steak was overcooked, and the server forgot my drink order twice. Additionally, we waited an hour for our food. I appreciate your establishment, and I hope my feedback can help improve future dining experiences. Thank you for your attention.",GPT,4,5,4,Bella
Telling a friend you don't want to go into business with them,I donג€™t want to go into business with my friend. How can I express this without causing tension?,"Hey, I wanted to chat about the business idea we discussed. I think it's an amazing opportunity, but I'm not sure we should partner up on this. I value our friendship, and I don't want any potential business risks to affect our relationship. I hope you understand, and I truly believe we can explore other ways to support each other in our ventures without becoming business partners.",Friends RAG,5,5,5,Bella
Service Cancellation Prompts,"Iג€™ve been using the same home repairman for a while, but Iג€™ve found a new service provider. How do I phrase a message to let them know?","Hi [Repairman's Name], I hope you’re doing well! I wanted to let you know that I’ve found a new service provider, so I won’t be needing your help anymore. I really appreciate all the work you’ve done for me. Thank you!",GPT,3,4,3,Bella
Ending a collaboration thatג€™s not working,"A work collaboration isnג€™t productive, and I want to step away. How can I express this professionally?","Hi, I hope this message finds you well. I wanted to discuss our current collaboration. I feel it's not as productive as it could be. Could we schedule a time to talk about potentially wrapping things up?",Claude,3,3,3,Bella
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey, I wanted to chat about how I've been feeling about our friendship lately. I feel like we might have grown apart, and I don't feel as connected to you as I used to. I think it might be time for me to step away and give us both some space. I hope you understand, and I wish you all the best.",Friends RAG,3,3,3,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is thrilled about an event, but I know itג€™s going to be canceled. How do I break the news gently?","Hey [Name], I’m so glad to hear you’re excited about the event! I wanted to let you know that there’s been a change, and it looks like the event is going to be canceled. I know this is disappointing, and I’m here if you want to talk about it.",GPT,3,3,3,Bella
Ending a collaboration thatג€™s not working,"Iג€™ve been collaborating with someone on a project, but itג€™s not going well. How can I end it without burning bridges?","Hey [Collaborator's Name], I’ve really appreciated working with you on this project and the ideas we’ve exchanged. After thinking it over, I’ve realized that I might need to take a different direction with my part of the work, and I think it would be best for me to focus on it separately. This isn’t a reflection on you or your contributions—I just feel that this approach will be a better fit for where I’m headed right now. I hope we can stay in touch and maybe find other opportunities to collaborate down the line. Thanks so much for your understanding!",GPT,4,4,4,Bella
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hi, could we chat privately for a moment? There's something I'd like to discuss about our workplace interactions.",Claude,1,1,1,Bella
Confronting a family member about overstepping boundaries,"A family member keeps interfering in my decisions, and I need to ask them to stop. How can I do this without causing family drama?","Hey, I wanted to talk to you about something that's been bothering me. I know we're family, and I value our relationship, but I need you to stop interfering in my decisions. It's important to me that I make my own choices, and I'd like you to respect that. I'm sure you have my best interests at heart, but it's not helpful when you override my choices. I wanted to tell you this directly and ask you to please let me handle my decisions from now on. I hope you understand, and we can move forward with a better understanding between us.",Friends RAG,5,5,5,Bella
Disappointment Prompts,"I ordered a custom cake for a special occasion, but it was nothing like what I asked for. The design was wrong, and it didnג€™t taste good. How can I express my disappointment to the bakery?","Hi [Bakery Name], I hope you’re doing well. I wanted to reach out about the custom cake I ordered for [occasion] on [date]. Unfortunately, I was quite disappointed with the outcome. The design did not match what I requested, and the taste was not up to my expectations. This was an important occasion for me, and I was hoping for a better experience. I appreciate your attention to this matter and hope we can find a resolution.",GPT,5,5,5,Bella
Cancelling plans last minute,"Something came up, and I need to cancel our plans. How do I apologize without seeming inconsiderate?","I hate to do this, but I have to cancel our plans. An emergency came up that I need to deal with. I'm really sorry for the inconvenience. Let's definitely reschedule soon!",Claude,5,5,5,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,I need to tell a coworker that the project theyג€™re excited about wonג€™t go forward. How do I break the news kindly?,"Hey, I wanted to talk to you about [Project X]. I know you're excited about it, and I am too, but I have to let you know that it's not going forward as planned. I wanted to tell you directly because I value our working relationship, and I know you've put a lot of effort into this. I hope we can figure out a way to move forward together and turn this around.",Friends RAG,5,5,5,Bella
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but I feel it comes with obligations. How can I turn it down politely?","Hey, I wanted to chat about the gift you offered. I really appreciate the thought, but I get the sense that it might come with some obligations or strings attached, and I don't want to take advantage or put you out in any way. I hope you understand and that we're cool.",Friends RAG,5,5,5,Bella
Asking a coworker to stop copying your work,Someone at work is using my ideas without permission. How do I address this without causing office tension?,"Hey, I wanted to talk to you about something that's been on my mind. I get the impression that you're using some of my ideas at work without running it by me first. I know we work closely together, but I'd appreciate it if we could respect each other's contributions and at least have a quick chat before presenting our combined ideas as your own. I think it's important we address this now to avoid any tension later on. Let me know when you're free to talk.",Friends RAG,5,5,5,Bella
Service Cancellation Prompts,"Iג€™ve been getting my nails done at the same salon, but I found a new place closer to work. Can you help me phrase a message to cancel future appointments?","Hey there! I wanted to let you know that I need to cancel my future appointments. I've found a new place that's closer to work, so I won't be able to make it to the upcoming sessions. I hope you understand, and I appreciate your services so far! Please let me know if there's anything I need to do from my end to confirm the cancellation. Thanks!",Friends RAG,4,5,4,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,"I accepted being a bridesmaid, but my financial situation has changed, and I canג€™t commit anymore. How can I back out without upsetting the bride?","
Hey [Bride's Name], I hope you’re doing well! I wanted to talk to you about something important. Due to some changes in my financial situation, I won’t be able to commit to being a bridesmaid anymore. I’m really sorry for any inconvenience this may cause, and I hope you understand. I’ll still be there to support you in any way I can!",GPT,4,4,5,Bella
Asking someone to stop oversharing personal details,A friend is constantly telling me personal details that I donג€™t want to hear. How can I ask them to tone it down kindly?,"Hey [Friend's Name], I really appreciate how much you trust me with what’s going on in your life. Lately, though, some of the details you’ve been sharing have been a bit more than I’m comfortable with. I hope you don’t take it the wrong way—I’m always here for you, but maybe we can keep some of our conversations a little lighter? I value our friendship and want to make sure we’re both comfortable with what we share. Thanks so much for understanding!",GPT,4,5,4,Bella
Ending a mentorship or advising relationship,"I want to step away from a mentorship, but I donג€™t want to hurt their feelings. How can I do this kindly?","Hey, I hope you're doing great. I wanted to chat about our mentorship. I've really valued your guidance, but I feel it might be time for me to explore other paths. Can we talk about this?",Claude,4,3,3,Bella
Asking a neighbor to stop being too loud,"My neighbor plays loud music late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without sounding rude?","Hey [Neighbor's Name], I hope you’re doing well! I wanted to bring something up that’s been affecting my sleep. I’ve noticed that the music has been quite loud late at night, and I’d really appreciate it if you could keep it down during those hours. Thanks so much for understanding!",GPT,4,5,4,Bella
Asking a coworker to stop copying your work,"A colleague is imitating my work, and I want them to stop. How can I approach this respectfully?","Hey, I wanted to talk to you about something that's been on my mind. I've noticed that you've been imitating my work lately, and I need to ask you to stop. It's starting to bother me, and I wanted to address it directly with you before it becomes a bigger issue. I know we work closely together, and I value our professional relationship, so I wanted to handle this respectfully. I would appreciate it if we could keep things unique and true to our own styles going forward. Thanks, and I hope you understand.",Friends RAG,4,4,3,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is overly enthusiastic about an idea, but I donג€™t think it will work. How do I let them down without crushing their spirit?","Hey, I know you're super passionate about this idea, and I love your enthusiasm! But I wanted to chat and be honestג€”I don't think this particular plan will work, and I don't want to see you get disappointed down the line. I think we should maybe take a step back and look at this from a different angle. I'm happy to brainstorm with you and figure out a way to make this work, or even come up with something new together!",Friends RAG,5,5,5,Bella
Telling a roommate they need to move out,"My roommate and I have different lifestyles, and I want to ask them to move out. How can I phrase this without making it uncomfortable?","Hey, I know we're roommates and all, and I really value our friendship, but I think it's time we talked about our living situation. I feel like we have different lifestyles and need our own space. I think it would be best if you moved out so we can both have some personal space. I hope you understand.",Friends RAG,3,5,4,Bella
Confronting someone about a hygiene issue,"My friend has bad breath, and I feel awkward bringing it up. How can I do it kindly?","Hey, I wanted to talk to you about something a little awkward, but it's kind of hard to ignore. I've noticed that you sometimes have bad breath, and I wanted to bring it up in case you weren't aware. It's totally cool if you have gum or mints, but I wanted to let you know so that you can be prepared in the future. No big deal, but I thought you should know.",Friends RAG,5,5,5,Bella
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing intimate details, and I need to set boundaries. How can I say this without hurting their feelings?","Hey, I wanted to chat about something. I value our friendship, but I feel like you've been sharing some pretty personal stuff lately, and it's a bit too much for me. I wanted to let you know that I'm here for you, but I'd appreciate it if we could maybe dial it back a little. I hope that's cool, and I want you to know that I'm always up for a chat about other stuff, too.",Friends RAG,5,5,5,Bella
Disappointment Prompts,"I attended a workshop, but it was really poorly organized. The materials werenג€™t ready, the instructor was late, and the content was very basic. How can I express my disappointment to the organizers?","Hello, I attended your recent workshop and wanted to provide some feedback. There were several organizational issues that affected the experience. Could we discuss how to improve future sessions?",Claude,4,2,3,Bella
Asking a coworker to stop copying your work,"A coworker is mimicking my work, and itג€™s starting to affect me. How can I address this without causing tension?","Hey, I wanted to talk to you about something that's been on my mind. I get that we work together, but lately, I've noticed that you've been mimicking my work a bit too closely for comfort. I wanted to bring it up directly with you before it caused any tension between us. I'd appreciate it if you could dial it back a bit and let us each do our own thing. Thanks, and I hope we can keep things cool and professional moving forward.",Friends RAG,5,5,5,Bella
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Hey, I hope you're doing well! I wanted to reach out about the job offer. I really appreciate the opportunity, but I don't think this role is the right fit for me. I don't want to turn it down without explaining, as I don't want to burn any bridges, but I also don't want to waste your time or mine by taking on something that isn't a good match. I hope you understand, and I wish you all the best in finding the perfect candidate!",Friends RAG,5,4,4,Bella
Confronting a family member about overstepping boundaries,"A family member keeps offering unsolicited advice, and I want to ask them to stop. How do I say this without causing conflict?","Hey [Family Member's Name], I really appreciate your concern and care, but I wanted to talk about the advice you’ve been giving me. Sometimes it feels a bit overwhelming, and I’d prefer to figure things out on my own. I hope you understand where I’m coming from!",GPT,3,3,3,Bella
Asking someone to stop oversharing personal details,"A friend tells me too much about their personal life, and itג€™s overwhelming. How do I ask them to tone it down kindly?","Hey, I value our friendship and your trust in me. Can we talk about finding a balance in what we share? I'm feeling a bit overwhelmed lately.",Claude,4,3,4,Bella
Service Cancellation Prompts,"Iג€™ve been working with the same accountant for a few years, but I want to switch to someone else. Can you help me write a message to let them know?","Hey [Accountant's Name], hope you’re doing well! I wanted to let you know that I’ve decided to switch to a new accountant, so I won’t be needing your services anymore. I really appreciate everything you’ve done for me over the years. Thank you!",GPT,3,4,3,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about a plan, but I need to break the bad news that itג€™s not going to happen. How can I phrase this gently?","Hey [Friend's Name], I’ve got some news about [the plan]. I know you were really excited about it, so I hate to be the one to say this, but it looks like it’s not going to work out this time. I’m really sorry—it’s disappointing, I know. But I’m sure we’ll find other fun things to look forward to together! Let’s brainstorm some new ideas—I’m always up for making new plans with you.",GPT,5,5,5,Bella
Addressing a friend who frequently cancels plans,"My friend often cancels plans, and I need to address it. How do I tell them itג€™s starting to bother me?","Hey [Friend's Name], I hope you’re doing well! I wanted to bring something up that’s been on my mind. I’ve noticed that our plans often get canceled, and it’s starting to bother me a bit. I really enjoy spending time together, so I hope we can find a way to make it work more often. Thanks for listening!",GPT,3,4,4,Bella
Cancelling plans last minute,"I need to cancel plans due to an emergency, but I donג€™t want my friend to feel unimportant. How should I say this?","Hey, sorry for the late notice, but something's come up and I need to cancel our plans. It's an emergency, and I feel awful about it, but I didn't want to just disappear and have you worried. I hope we can reschedule soon and catch up properly. I'll make it up to you!",Friends RAG,5,5,5,Bella
Confronting a family member about overstepping boundaries,"My parents keep overstepping boundaries, and I need to set limits. How do I phrase this without causing tension?","Hi Mom and Dad, I hope you're both well. There's something important I'd like to discuss with you about our relationship. Can we find a time to talk? I want to chat about setting some boundaries.",Claude,4,3,3,Bella
Service Cancellation Prompts,"Iג€™ve been using the same caterer for my events, but Iג€™ve decided to try someone new. How do I politely cancel their services?","Hey, I wanted to let you know that I've decided to try a new caterer for my upcoming events. I appreciate your services thus far, but I feel it's time for a change. I wanted to give you a heads-up so you're not caught off guard. Thank you for your understanding, and I wish you all the best.",Friends RAG,3,3,3,Bella
Confronting someone about a hygiene issue,"I have a roommate with a hygiene problem, and itג€™s affecting our living situation. How can I address this delicately?","Hey [Roommate's Name], I wanted to talk to you about something that’s a little awkward but important for our living situation. I’ve noticed that there have been some hygiene issues around the apartment, and I think it’s starting to affect our space a bit. I totally get that life can get busy and things slip, but I was hoping we could both make an effort to keep things fresh around here. Let me know if there’s anything I can do to help make things easier for both of us!",GPT,5,5,5,Bella
Break Up,"Iג€™ve been dating someone for a few months, but we argue constantly, and itג€™s exhausting. How can I break up with them without focusing on the negatives?","Hey, I wanted to talk to you about something that's been on my mind. We've been dating for a while now, and I've realized that we spend a lot of time arguing and it's starting to take a toll on me. I think it's best for both of us if we take some space and focus on ourselves. I value the good times we had, and I wish you all the best. I hope we can both move forward and find happiness.",Friends RAG,5,5,5,Bella
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™m starting to feel like Iג€™m losing my sense of self. Can you help me phrase a breakup message that focuses on my need for independence?","Hey, I hope you're doing well. There's something important I want to talk about. Our relationship has been meaningful, but I'm feeling like I need some time for myself. Can we meet up to chat?",Claude,4,3,3,Bella
Ending a mentorship or advising relationship,"My advisor isnג€™t helpful anymore, and I want to step away from the relationship. How can I phrase this kindly?","Hey, I wanted to talk to you about my advisor. I've been feeling like our relationship isn't as helpful as it used to be, and I think it's time for me to find a new direction. I value your help and our time working together, but I think it's best for me to step away and explore other options. Thank you for understanding.",Friends RAG,3,2,4,Bella
Addressing someone whoג€™s not paying you back,"A family member borrowed money from me, and I need it back. How do I ask for it without causing tension?","Hey, I know we're family and all, but I was wondering when you might be able to pay me back for that loan. I hate to bring it up, but I could really use that money back sooner rather than later. I hope you understand.",Friends RAG,5,5,5,Bella
Rejecting someone who confessed their feelings,"A friend told me they like me, but I only see them as a friend. How can I turn them down without ruining the friendship?","Hey, I know we talked about it, and I said I'd be your bridesmaid, but I'm having second thoughts. I'm so sorry, but I don't think I can commit to it anymore. It's not that I don't want to be there for your big day, but I'm just not in the right headspace to take on the responsibilities that come with it. I hope you understand, and that we can still be friends. I value our friendship, and I don't want to lose that.",Friends RAG,5,5,5,Bella
Rejecting someone who confessed their feelings,"A friend confessed their feelings for me, but I donג€™t feel the same way. How can I reject them gently while preserving the friendship?","Hey [Friend's Name], I really appreciate you being open with me about your feelings. It means a lot that you trust me enough to share this. I’ve thought about it, and I value our friendship so much, but I don’t feel the same way romantically. I really hope we can continue to be close as friends because I truly enjoy having you in my life. I understand if you need some time, and I’m here if you want to talk.",GPT,5,5,5,Bella
Ending a long-term friendship,Iג€™ve outgrown a friendship and want to end it. How can I explain this without hurting them too much?,"Hey, I wanted to chat about how I've been feeling about our friendship. I feel like we might have grown apart, and I don't want to drag this out any longer. I think it's time for us to move on and meet new people. I value the times we had, but I think we're both ready for something different now. I hope you understand.",Friends RAG,5,5,4,Bella
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but it comes with obligations Iג€™m not comfortable with. How can I decline politely?","Hey [Person's Name], thank you so much for thinking of me with this gift—it’s really generous of you, and I appreciate the thought behind it. I’ve given it some thought, and I feel that I wouldn’t be able to accept it because it comes with some commitments that I’m not sure I can take on right now. I hope you understand, and I’m truly grateful for your kindness!",GPT,4,5,5,Bella
Addressing someone whoג€™s not paying you back,"I loaned money to a family member, and they havenג€™t repaid me. How can I ask for it back without causing tension?","Hi, I hope everything's going okay. I wanted to touch base about the loan from a few months ago. I know things can be tight, so no pressure, but I was wondering if you had a timeline for repayment in mind?",Claude,4,4,3,Bella
Disappointment Prompts,"I recently hired a cleaning service, but they did a terrible job. They missed several areas in the house, and when I pointed it out, they were rude and dismissive. How do I write a complaint to the company?","Hi, I recently used your cleaning service and was disappointed with the results. When I tried to address this, the staff was dismissive. I'd like to discuss this situation with management.",Claude,3,3,3,Bella
Confronting a family member about overstepping boundaries,A sibling keeps meddling in my personal life. How can I ask them to stop respectfully?,"Hey sis/bro, I appreciate that you care about me, but I feel like you've been a bit too involved in my personal life lately. Can we chat about this? I'd like to find a balance that works for both of us.",Claude,4,3,4,Bella
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","Hi [Manager's Name], I hope you’re doing well. I wanted to take a moment to thank you for the promotion offer. I truly appreciate the recognition and your confidence in me. After careful consideration, I’ve decided to stay in my current role, as I’m happy with where I am right now. Thank you for your understanding, and I look forward to continuing to contribute to the team!",GPT,5,5,5,Bella
Turning down a family or cultural expectation,"Iג€™m expected to follow a cultural path I donג€™t agree with, and I need to tell my family. How can I express this without causing offense?","Hey, I know we're expected to follow a certain cultural path, but I wanted to talk to you about how I feel about it all. I don't agree with [specific aspect(s) mentioned], and I wanted to let you know before I take any steps to change things on my end. I know this might be unexpected, and I'm nervous about how you'll react, but I hope we can talk it through and find a way to respect each other's choices, even if we don't agree. I value our relationship, and I don't want this to cause any issues between us.",Friends RAG,5,5,5,Bella
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are becoming an issue. How do I say this kindly?,"Hi there, I hope you're doing okay. I wanted to chat about our plans. The last-minute cancellations are becoming a bit of an issue for me. Can we talk about how we might make things work better for both of us?",Claude,5,4,4,Bella
Service Cancellation Prompts,"Iג€™ve had the same piano teacher for years, but Iג€™ve decided to take a break from lessons. How can I politely let them know?","Hi, I hope you're well. I've decided to take a break from piano lessons for now. Thank you so much for all your patience and guidance over the years.",Claude,3,4,3,Bella
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","I'm really touched that you want to include me in your business plans. However, I'm not comfortable mixing our friendship with a business partnership. I hope you can understand my perspective.",Claude,3,4,4,Bella
Disappointment Prompts,"I had an important meeting with my boss, and she was distracted the entire time. She didnג€™t listen to my concerns, kept checking her phone, and ended the meeting abruptly. How can I express my disappointment professionally?","Hi, I wanted to follow up on our recent meeting. I felt that my concerns weren't fully heard, and the meeting ended rather abruptly. I value our professional relationship and would appreciate the chance to discuss this further.",Claude,5,4,5,Bella
Service Cancellation Prompts,"Iג€™ve been working with the same graphic designer, but I want to hire someone new for my next project. How do I inform them politely?","Hello, I hope this message finds you well. For my next project, I've decided to work with a different graphic designer. Thank you for all your creative work on previous projects.",Claude,3,4,3,Bella
Telling a roommate they need to move out,"My roommate is making living together unbearable, and I need them to move out. How can I ask without causing conflict?","Hey, can we have a chat about our living situation? There are some issues I'd like to discuss. Let me know when you're free to talk.",Claude,3,2,2,Bella
Disappointment Prompts,"I went to a car repair shop, and they charged me a lot for repairs, but my car still has the same issue. How can I write a message to express my frustration and ask for a refund?","Hello, I'm writing about the recent repairs done on my car. Unfortunately, the issue persists despite the work done and the significant cost. I'd like to discuss potential solutions, including the possibility of a refund. Can we set up a time to talk?",Claude,5,5,5,Bella
Cancelling plans last minute,I double-booked and need to cancel plans last minute. How do I tell my friend without sounding inconsiderate?,"Hey, sorry for the last-minute change of plans! Something's come up, and I have to cancel. I know it's not ideal, but I hope you understand. I'll make it up to you soon! נ˜",Friends RAG,3,4,3,Bella
Break Up,"Iג€™ve been dating this girl for 6 months, but her family is very involved in our relationship, and itג€™s overwhelming me. How can I break up with her without making it about her family?","Hey, I hope you're doing okay. There's something important I need to discuss with you. Our relationship means a lot to me, but I'm feeling overwhelmed. Can we meet up to talk?",Claude,3,2,3,Bella
Ending a mentorship or advising relationship,My advisor isnג€™t meeting my needs anymore. How do I let them know that I want to end the relationship politely?,"een incredibly valuable, and I’ve learned so much from our time together. Lately, I’ve realized that my needs and focus have shifted, and I think it might be best for me to seek a different perspective as I move forward. I’m truly grateful for everything you’ve helped me with, and I hope we can stay in touch. Thank you again for all your time and insight!",GPT,5,5,5,Bella
Break Up,I recently realized my girlfriend and I are not compatible in terms of values. Could you help me end the relationship politely?,"Hey [Girlfriend's Name], I hope you’re doing well. I’ve been doing a lot of thinking about our relationship, and I want to be honest with you. I truly appreciate the time we’ve spent together, but I’ve come to realize that we have some fundamental differences in our values that I think are important for a long-term relationship. It’s not easy to say this, but I believe it’s best for both of us to go our separate ways. I wish you all the best, and I’m grateful for the moments we shared.",GPT,5,4,5,Bella
Turning down a family or cultural expectation,"My family wants me to get married, but Iג€™m not ready. How can I express my feelings without upsetting them?","Hey, I wanted to talk to you about something that's been on my mind. I love you, and I know family is important to you, but I'm just not ready to get married yet. I hope you can understand and respect my decision. I'm sure you just want what's best for me, but I need to do what's right for me, too. I'm just not ready for that step yet, and I hope you can support me in this.",Friends RAG,4,4,4,Bella
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hey [Friend's Name], I hope you’re doing okay. I’ve been doing some thinking, and I feel that our friendship isn’t as healthy for me anymore. I think it’s best for both of us to go our separate ways. I truly appreciate all the good times we’ve shared. Thank you for everything!",GPT,4,4,3,Bella
Cancelling plans last minute,"I have to cancel plans last minute because of work, and I donג€™t want my friend to feel neglected. How can I apologize?","Hey, I'm so sorry but I have to cancel our plans. Work just dropped an urgent task on me. Can we reschedule? I feel terrible about this.",Claude,5,5,4,Bella
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,"I'm grateful for your offer. After careful consideration, I've decided to pursue another opportunity that aligns more closely with my career goals. Thank you for your understanding.",Claude,4,3,3,Bella
Service Cancellation Prompts,"Iג€™ve been getting my hair done by the same stylist for years, but I want to try someone new. Can you help me write a polite message to cancel my appointments?","Hey, I hope you're doing great. I wanted to let you know that I've decided to try a new hairstylist. Thank you so much for all the amazing haircuts over the years!",Claude,3,4,3,Bella
Informing someone that their gift wasnג€™t well-received,"I received a gift that doesnג€™t fit my needs, and I want to let the person know. How can I say this without seeming ungrateful?","Hi there, I wanted to thank you again for your generous gift. I'm truly grateful for your kindness. I wanted to let you know that it doesn't quite fit my needs. Would you be okay if I exchanged it?",Claude,3,4,4,Bella
Addressing someone whoג€™s not paying you back,"A coworker owes me money, but I donג€™t want to make it uncomfortable. How can I ask for repayment politely?","Hey [Coworker's Name], I hope you’re doing well! Just a quick reminder about the money I lent you a while back. If you’re able to repay it soon, I’d really appreciate it. I know things can get busy, so just let me know if you need a little more time. Thanks so much!",GPT,5,5,5,Bella
