Category,query,Response ,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Ending a mentorship or advising relationship,"I want to step away from a mentorship, but I donג€™t want to hurt their feelings. How can I do this kindly?","Hey, I wanted to talk to you about the mentorship. I'm grateful for the opportunity, but I think it's time for me to step away. I've learned a lot, and I really appreciate your time and guidance. I hope you understand, and I wish you all the best.",Friends RAG,2,2,4,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,"A coworker is really excited about a project, but I need to tell them itג€™s not going ahead. How can I break the news without killing their enthusiasm?","Hey [Coworker's Name], I really appreciate your excitement about the project! I wanted to let you know that, unfortunately, it’s not going ahead as planned. I know this is disappointing, but I’m looking forward to working on future projects together. Thanks for your understanding!",GPT,2,2,5,Tomer
Cancelling plans last minute,"I have to cancel plans last minute because of work, and I donג€™t want my friend to feel neglected. How can I apologize?","Hey, sorry for the last-minute cancel again! Work is just crazy right now. I know it's not fair to bail on you like this, and I'm really sorry. I hope we can reschedule soon and actually make it happen this time. I know how annoying it is when plans fall through, so I totally understand if you're frustrated. Let's chat soon and catch up properly.",Friends RAG,2,3,4,Tomer
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Hey [Recruiter's Name], I really appreciate the offer and the time you took throughout the process. After careful thought, I've realized that it's not the right fit for me at this time. I hope we can stay in touch, and I’d love to explore future opportunities if they come up. Thanks again for everything!",GPT,2,4,4,Tomer
Addressing someone whoג€™s not paying you back,"A friend borrowed money from me months ago, and I need to ask for it back. How can I phrase this without making things awkward?","Hey, I hope you're doing well. I wanted to check in about the money I lent you a while back. No pressure, but I was wondering if you had an idea of when you might be able to repay it? Let me know if you need more time.",Claude,5,3,4,Tomer
Service Cancellation Prompts,"Iג€™ve been working with the same accountant for a few years, but I want to switch to someone else. Can you help me write a message to let them know?","Hi, I hope this message finds you well. I've decided to switch to a different accountant for my financial needs. Thank you for all your help and expertise over the years.",Claude,3,2,5,Tomer
Asking a neighbor to stop being too loud,"My neighbor plays loud music late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without sounding rude?","Hi neighbor, I hope you're doing well. Could we chat about noise levels? I'm having some trouble sleeping.",Claude,4,4,3,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a bridesmaid, but now I canג€™t commit. How can I let the bride know without causing drama?","Hey, I know I said I'd be your bridesmaid, and I really wanted to be there for you, but something's come up and I can't commit anymore. I'm so sorry, I know it's last minute. I hope you understand and that we're still good. I really want to support you, but I'm just not in a place to do that right now. Let me know how you want to handle this.",Friends RAG,4,4,5,Tomer
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","I'm touched that you want to include me in your business. However, I prefer to keep our friendship separate from business dealings. I hope you can understand my position.",Claude,2,2,5,Tomer
Rejecting someone who confessed their feelings,"A friend confessed their feelings for me, but I donג€™t feel the same way. How can I reject them gently while preserving the friendship?","I'm really flattered that you feel that way about me. You're an amazing friend and I care about you a lot. I don't have the same romantic feelings, though, and I hope we can continue being great friends. Your friendship means a lot to me.",Claude,4,4,5,Tomer
Telling a roommate they need to move out,"My roommate is making living together unbearable, and I need them to move out. How can I ask without causing conflict?","Hey, I wanted to talk to you about our living situation. I know we're friends, and I value our friendship, but living together has become unbearable for me. I think it's best if you move out. I hope you understand, and I want to assure you that I'll involve my landlord and be respectful throughout the process. Let's talk soon and figure out the next steps together.",Friends RAG,3,3,5,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same personal trainer for a few months, but Iג€™ve decided to start working out on my own. How can I let them know I wonג€™t be continuing with their sessions?","Hey, I wanted to let you know that I've been feeling like I need to switch up my workout routine and try going solo for a while. I've enjoyed our training sessions, and I've learned a lot, but I think it's time for me to explore this path on my own. I hope you understand, and I wish you all the best!",Friends RAG,2,4,5,Tomer
Cancelling plans last minute,"I need to cancel plans due to an emergency, but I donג€™t want my friend to feel unimportant. How should I say this?","Hey [Friend's Name], I’m so sorry, but I have an emergency that just came up, and I won’t be able to make it today. I really wish I didn’t have to cancel, and I hope you know how much I was looking forward to our plans. I’ll keep you updated, and hopefully, we can reschedule soon. Thanks so much for understanding—I really appreciate it",GPT,2,4,5,Tomer
Break Up,"Iג€™ve been with my boyfriend for a year, but Iג€™m starting to feel more like roommates. Could you help me with a breakup text?","Hey, I get itג€”breakups are tough. It's totally fine to not be handling it well. Take your time and be kind to yourself. As for texting your ex, it might be best to hold off on initiating conversations for now. Focus on yourself and give yourself some space to heal. If they reach out, a simple, ""Hey, I'm good. Hope you are too,"" could be a good way to keep things civil without reopening any wounds. Take care!",Friends RAG,1,1,1,Tomer
Break Up,"Iג€™ve been in a relationship for 8 months, and while heג€™s been great, I feel like Iג€™m not ready to settle down. How do I tell him this without hurting his feelings?","Hey [His Name], I want you to know how much I appreciate everything you’ve brought into my life these past 8 months. You’ve been so great to me, which makes this really hard to say, but I’ve been doing a lot of thinking lately, and I feel like I’m just not in a place where I’m ready to settle down right now. It’s not about anything you’ve done—I think you deserve someone who’s in the same place and looking for the same things as you are. I hope you can understand where I’m coming from, and I’m truly sorry if this hurts you. You mean a lot to me, and I’ll always wish you the best.",GPT,3,2,2,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same landscaper for a while, but I want to switch to a new company. How do I phrase a message to let them know I wonג€™t be using their services anymore?","Hi [Landscaper's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to switch to a new landscaping company, so I won’t be using your services anymore. I really appreciate all the work you’ve done for me. Thank you!",GPT,2,2,4,Tomer
Rejecting someone who confessed their feelings,"A close friend has feelings for me, but I only see them as a friend. How can I phrase this without making things awkward?",I'm really honored that you feel that way about me. You're one of my closest friends and I care about you deeply. But I don't have the same romantic feelings. I hope this doesn't change our friendship because you mean a lot to me.,Claude,3,4,4,Tomer
Service Cancellation Prompts,"Iג€™ve had the same yoga instructor for months, but I want to try a new class. Can you help me write a message to inform them I wonג€™t be attending their classes anymore?","Hey, I wanted to let you know that I won't be able to continue with your classes. I've really enjoyed the past few months and I've learned a lot, but I think it's time for me to explore some new practices and instructors. I hope you understand, and I wish you all the best. Namaste! נ˜נ§˜ג€ג™€ן¸נ",Friends RAG,3,3,3,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same home repairman for a while, but Iג€™ve found a new service provider. How do I phrase a message to let them know?","Hello, I hope you're doing well. I've found a new service provider for home repairs. Thank you for all your reliable work over the years.",Claude,2,2,4,Tomer
Disappointment Prompts,"I went to a car repair shop, and they charged me a lot for repairs, but my car still has the same issue. How can I write a message to express my frustration and ask for a refund?","Hey, I wanted to reach out about my car. I'm frustrated because I paid a lot to get it fixed, but the issue is still there. I feel like I've wasted my money, and I'm wondering if there's any way I can get a refund? I don't want to cause any trouble, but I'm just not happy with the service. Can we discuss this further?",Friends RAG,3,4,4,Tomer
Disappointment Prompts,"I attended a workshop, but it was really poorly organized. The materials werenג€™t ready, the instructor was late, and the content was very basic. How can I express my disappointment to the organizers?","Hey, I wanted to reach out and give you some feedback on the workshop. I was really looking forward to it, but unfortunately, it fell short of my expectations. The lack of organization and basic content were a letdown, and I wanted to let you know so that you're aware of participants' experiences. I think there's a lot of potential for improvement, and I hope you can take this on board for future workshops. Thanks for listening, and I hope we can make the next one a better experience!",Friends RAG,3,3,3,Tomer
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hey, I wanted to chat about something. You've been sharing a lot about your personal life lately, and while I appreciate your honesty, it's starting to make me feel a bit uncomfortable. I'd appreciate it if we could keep our conversations more focused on work from now on. Thanks, and I hope you understand.",Friends RAG,2,2,3,Tomer
Break Up,"Iג€™ve been in a relationship for a year, but I feel like Iג€™m carrying the emotional weight of both of us. How do I break up without making them feel like theyג€™ve failed?","Hey, I wanted to talk to you about how I've been feeling in our relationship. I think we need to discuss the balance of emotional labor between us. I've been feeling like I'm carrying the weight of both of us for a while now, and it's becoming a bit too much for me. I don't want to make you feel like it's your fault or that you've failed in any way, but I think it's important to be honest about this. I care about you, and I think it's best we talk about this openly and figure out what's next together.",Friends RAG,2,2,3,Tomer
Rejecting a gift or favor that has strings attached,A favor from a family member seems like it has strings attached. How do I turn it down without causing offense?,"Hey, thanks so much for offering to help out. I really appreciate the gesture, but I'm a bit concerned about the expectations that might come with it. Can we chat about this?",Claude,2,2,2,Tomer
Disappointment Prompts,"I hired a photographer for a family event, but the photos turned out blurry, and she missed several key moments. How can I politely express my disappointment in the quality of her work?","Hi [Photographer's Name], I hope you’re doing well. I wanted to reach out regarding the photos from our recent family event. I appreciate the effort you put into capturing our moments, but I was disappointed to find that many of the photos turned out blurry, and several key moments were missed. These memories are really important to us, and I was hoping for a different outcome. I value your talent and would like to discuss how we can address this issue. Thank you for your understanding.",GPT,2,4,4,Tomer
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m not interested in the additional responsibilities. How do I turn it down gracefully?","Hey [Manager's Name], I really appreciate being considered for the promotion—it means a lot to me. After giving it some thought, I feel that I’m not ready to take on the additional responsibilities at this time. I’m committed to continuing to do my best in my current role, and I’m open to discussing future opportunities when the time is right. Thanks again for understanding!",GPT,3,3,3,Tomer
Turning down a family or cultural expectation,"My family wants me to get married, but Iג€™m not ready. How can I express my feelings without upsetting them?","Hey [Family Member's Name], I appreciate your love and concern for my future. I want to be honest and let you know that I'm not ready for marriage right now. I hope you can understand that I want to focus on my own journey at this time. Thank you for your support and understanding!",GPT,3,3,3,Tomer
Telling a roommate they need to move out,Iג€™m no longer comfortable living with my roommate. How can I ask them to move out without making it too awkward?,"Hey [Roommate's Name], I hope you’re doing okay. I wanted to talk about our living situation because I’ve been feeling a bit uncomfortable lately. I think it might be best for both of us if we find separate living arrangements. I really appreciate your understanding, and I’m here to help with the transition if you need it.",GPT,4,4,4,Tomer
Ending a mentorship or advising relationship,"My advisor isnג€™t helpful anymore, and I want to step away from the relationship. How can I phrase this kindly?","Hi [Advisor's Name], I hope you’re doing well! I wanted to express my gratitude for your support so far. After some reflection, I feel that I need to explore different avenues for guidance. I appreciate everything you’ve done for me, and I hope we can stay in touch moving forward!",GPT,2,3,4,Tomer
Service Cancellation Prompts,"Iג€™ve been working with the same web developer, but I want to hire someone new for my next project. How do I let them know politely?","Hi [Developer's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to hire a new web developer for my next project. I really appreciate all the work you’ve done for me. Thank you for everything!",GPT,2,2,4,Tomer
Asking a neighbor to stop being too loud,"The neighborג€™s dog is constantly barking, and I want to ask them to address it. How do I say this politely?","Hey [Neighbor's Name], I hope you’re doing well! I just wanted to bring something to your attention—I’ve noticed that [Dog's Name, if you know it] has been barking quite a bit lately, especially during [specific times, e.g., late at night or early morning]. I understand that dogs can be unpredictable, but it’s been a bit tough on my end with the noise. If there’s anything that could be done to help keep things a little quieter, I’d really appreciate it. Thanks so much for your understanding!",GPT,3,5,5,Tomer
Break Up,"Iג€™ve been dating this girl for 6 months, but her family is very involved in our relationship, and itג€™s overwhelming me. How can I break up with her without making it about her family?","Hey, I wanted to talk to you about something that's been on my mind. I think you're great, and I've really enjoyed the time we've spent together, but I'm finding it hard to deal with the level of involvement your family has in our relationship. I feel like it's becoming a bit overwhelming for me, and I think it's best if we part ways. I'm sorry, but I think this is for the best. I wish you all the best, and I hope you understand.",Friends RAG,2,2,5,Tomer
Confronting a family member about overstepping boundaries,"A family member keeps offering unsolicited advice, and I want to ask them to stop. How do I say this without causing conflict?",I appreciate your care and advice. Can we talk about how we communicate? I have some thoughts I'd like to share.,Claude,4,2,2,Tomer
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey, I wanted to talk to you about our friendship. I feel like it's become a bit one-sided and uneven lately, and it's starting to affect me. I think it might be best for both of us if we took a step back and focused on other people and things for a while. I hope you understand, and I wish you all the best.",Friends RAG,2,4,4,Tomer
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,"Hey, I wanted to let you know that I've received another job offer that aligns better with my long-term goals. I'm so grateful for the opportunity you've given me, and I don't want to waste your time or lead you on. I hope you understand my situation, and I wish your team all the best.",Friends RAG,4,4,5,Tomer
Break Up,"Iג€™ve been dating someone for a while, but their lifestyle is very different from mine, and I donג€™t see us fitting together long-term. How can I break up in a way thatג€™s respectful?","Hey [Their Name], I want to talk about our relationship. I’ve really enjoyed the time we’ve spent together, and I appreciate all the moments we’ve shared. However, after thinking it over, I’ve realized that our lifestyles are quite different, and I don’t see us fitting together long-term. I think it’s best for both of us to go our separate ways now rather than prolong something that might not work out in the future. I truly wish you the best in everything, and I hope we can part on good terms.",GPT,2,4,4,Tomer
Service Cancellation Prompts,I want to switch my cleaning service because I found a more affordable option. How do I tell the current cleaning lady she won't need to come anymore?,"Hey [Name], hope you’re doing well! I wanted to let you know that I found a more affordable cleaning option, so I won’t need your services anymore. I really appreciate all the hard work you’ve done for me. Thank you so much!",GPT,2,2,5,Tomer
Turning down a family or cultural expectation,"My family is pressuring me to follow a certain path, but I donג€™t want to. How can I express this without causing tension?","Hey everyone, I know how much you care about me and want what’s best for my future, and I really appreciate your support and advice. I’ve been doing a lot of thinking, and I feel strongly that I need to follow a different path that feels right for me. I understand it might not be what you had in mind, but it’s important to me to make this decision on my own. I hope you can respect my choice, and I’d love to have your support as I go down this road. Thanks for always being there for me.",GPT,3,4,4,Tomer
Break Up,Iג€™m seeing someone but realized that Iג€™m not over my ex. How do I break up without making it worse?,"Hey, I hope you're doing alright. There's something I need to talk to you about. I've realized I'm not in the right headspace for a relationship right now. Can we meet up to chat?",Claude,3,2,3,Tomer
Disappointment Prompts,"I had dinner at a restaurant last night, and the food was way below expectations. My steak was overcooked, the server forgot my drink order twice, and we had to wait an hour to get our food. Can you help me write a message to express my disappointment?","Hello, I wanted to provide feedback about my dining experience last night. Unfortunately, it fell short of expectations. My steak was overcooked, my drink order was forgotten twice, and the wait time was excessive. I'd like to discuss how this can be improved for future diners.",Claude,2,2,4,Tomer
Break Up,"Iג€™ve been seeing a guy for 2 months, but his jealousy is starting to make me uncomfortable. How do I end the relationship without making it confrontational?","Hey [His Name], I’ve really enjoyed getting to know you over the past couple of months, and I appreciate the time we’ve shared together. After thinking things through, I feel like this relationship isn’t the best fit for me right now. I think it’s important for both of us to be in situations where we feel comfortable and understood, and I’m realizing that I need to take a step back. I hope you can understand, and I wish you all the best moving forward.",GPT,2,4,5,Tomer
Break Up,"Iג€™ve been casually dating a girl, but Iג€™ve realized sheג€™s way more serious about us than I am. How do I let her down gently?","Hey, I wanted to chat about where we're at. I really like you, but I think we want different things. I'm just not looking for anything serious right now, and I don't want to lead you on. I hope we can still be friends, though. I really value having you in my life.",Friends RAG,4,4,5,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is overly enthusiastic about an idea, but I donג€™t think it will work. How do I let them down without crushing their spirit?","Hey [Name], I love how enthusiastic you are about this idea, and I can see you’ve put a lot of thought into it! I do have some concerns about a few parts of it and how they might work in practice. Maybe we can talk through those together and see if there’s a way to adjust or find an alternative approach? I’m happy to help brainstorm and figure out how we can make it work, or even explore other options. Your passion is definitely inspiring!",GPT,2,4,4,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is thrilled about an event, but I know itג€™s going to be canceled. How do I break the news gently?","Hi, there's something I need to talk to you about regarding the upcoming event. Can we find a time to chat?",Claude,4,2,2,Tomer
Service Cancellation Prompts,"Hi, I've been using the same manicurist for years, but I found someone closer to my new place. Can you help me phrase a message to let her know I won't be coming anymore?","Hi, I hope you're doing well. I wanted to let you know that I've found a new manicurist closer to my new place. Thank you for all your great work over the years!",Claude,2,2,4,Tomer
Addressing a friend who frequently cancels plans,"A friend keeps canceling our plans last minute, and itג€™s frustrating. How can I bring it up without damaging the friendship?","Hey, I've noticed a pattern with our plans being canceled. Can we talk about this? It's starting to affect me.",Claude,4,3,4,Tomer
Asking a neighbor to stop being too loud,"I have noisy neighbors, and itג€™s disrupting my work-from-home setup. How can I politely ask them to tone it down?","Hey neighbor, I hope all's well. Could we talk about noise levels during work hours? I'm working from home and finding it a bit challenging.",Claude,3,3,4,Tomer
Break Up,"Hi, Iג€™ve been dating a girl for a few months, but our communication styles are too different. How can I break up with her kindly?","Hi, I hope you're well. There's something I wanted to discuss with you. I've really enjoyed getting to know you, but I feel like we're struggling to communicate effectively. Can we meet up to talk?",Claude,2,3,4,Tomer
Pushy Parents,"My parents think Iג€™m wasting time by traveling, but itג€™s something that makes me really happy. How do I explain that I donג€™t want to stop traveling just because they think I should be more 'practical'?","Hey, I know it's a bit of a tricky subject, but I wanted to talk to you about my plans for traveling. I know you and Dad worry about me being practical and settling down, but traveling is something that makes me really happy, and I don't want to give it up just yet. I get that it might seem like I'm wasting time, but I feel like I'm gaining so much more by exploring and experiencing new places. I hope you can understand that this is important to me, and I don't want our differences in opinion to cause any issues between us. Love you both.",Friends RAG,4,4,5,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same house cleaning service for years, but I found a more convenient option. How do I politely let them know Iג€™m canceling the service?","Hey, I wanted to let you know that I've found a more convenient option for my house cleaning needs, and unfortunately, that means I need to cancel your service. I've appreciated your hard work over the years, and I'm sorry for any inconvenience this may cause. Thank you for understanding.",Friends RAG,2,2,5,Tomer
Ending a collaboration thatג€™s not working,I need to end a work collaboration thatג€™s no longer productive. How do I phrase this without burning bridges?,"Hey, can we chat about our collaboration? I think we might need to reassess our approach. When are you free to discuss this?",Claude,2,2,3,Tomer
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™m starting to feel like Iג€™m losing my sense of self. Can you help me phrase a breakup message that focuses on my need for independence?","Hey, I wanted to talk to you about how I've been feeling in our relationship. I care about you, but lately, I've realized that I've been feeling a bit lost and like I'm neglecting myself. I think I need some time to focus on me and figure things out on my own. I hope you can understand that this is about my need for independence and self-discovery, and it's not a reflection on you or our time together. I wish you all the best, and I hope we can both find happiness and peace.",Friends RAG,3,4,5,Tomer
Pushy Parents,"My parents are pressuring me to stay in my hometown, but Iג€™ve always wanted to explore the world. How do I tell them that I need to go after my dream of living abroad?","Hey Mom and Dad, I know how much it means to you for me to stay close to home, and I really appreciate how much you care about me and want me nearby. But I’ve been dreaming of exploring the world and experiencing life in new places for a long time, and I feel like this is something I really need to do for myself. It’s not about leaving you behind—I just feel like I need to take this chance to grow and see what’s out there. I hope you can understand that this is something I’m really passionate about, and it would mean a lot to me to have your support as I follow this dream. I promise that wherever I go, you’ll always be an important part of my life.",GPT,4,5,5,Tomer
Addressing someone whoג€™s not paying you back,"A family member borrowed money from me, and I need it back. How do I ask for it without causing tension?","Hey [Family Member's Name], I hope you’re doing well! I wanted to check in about the money I lent you a while back. If you could let me know when you might be able to pay it back, I’d really appreciate it. Thanks!",GPT,3,3,4,Tomer
Break Up,"Iג€™ve been dating this guy for a few months, and while I like him, I feel like we have no emotional connection. How do I break up with him without making it too awkward?","Hi, I hope you're having a good day. There's something I wanted to talk to you about. I've really enjoyed getting to know you, but I'm feeling like something's missing between us. Can we meet up to chat?",Claude,3,3,3,Tomer
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Hi [Hiring Manager's Name], I hope you’re doing well. I wanted to express my gratitude for the job offer for [Position Name]. After careful consideration, I’ve decided to decline as I feel it’s not the right fit for me at this time. I really appreciate the opportunity and your understanding, and I hope to keep in touch for future possibilities. Thank you again!",GPT,2,4,5,Tomer
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are becoming an issue. How do I say this kindly?,"Hey, I wanted to talk to you about something that's been on my mind. I've noticed that you've been canceling on me a lot lately, and I'm starting to feel a bit disappointed. I know life gets busy, but our time together is important to me, and I wanted to let you know that it's been affecting me. Can we chat about this and maybe find a solution together? I value our friendship and don't want this to become an issue between us.",Friends RAG,4,5,5,Tomer
Disappointment Prompts,"I had a bad experience with my landlord. Iג€™ve been reporting issues with the apartment for months, but nothing has been fixed. How can I write a message to express my frustration?","Hey, I wanted to talk to you about the issues I've been having with the apartment. I've reported these problems to you several times over the past few months, and nothing has been done to resolve them. I'm starting to feel really frustrated and wanted to express that to you directly. I hope we can work together to find a solution and get these issues fixed as soon as possible.",Friends RAG,2,4,4,Tomer
Addressing a friend who frequently cancels plans,"My friend often cancels plans, and I need to address it. How do I tell them itג€™s starting to bother me?","Hi, I wanted to chat about our plans. The frequent cancellations are becoming a bit of an issue for me. Can we talk about this?",Claude,3,2,3,Tomer
Rejecting a gift or favor that has strings attached,I was offered a favor that seems to have strings attached. How can I reject it kindly without offending them?,"Hey, I know it's awkward, but I wanted to let you know that I'm not comfortable with this favor anymore. I appreciate the offer, but I think it's best if I decline. I don't want there to be any misunderstandings or hidden expectations. I hope you understand, and let's just keep things cool between us. No hard feelings, okay?",Friends RAG,3,2,3,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about a plan, but I need to break the bad news that itג€™s not going to happen. How can I phrase this gently?","Hey, I know you're really excited about the plan, and I hate to be the bearer of bad news, but it looks like it might not be possible after all. Can we chat about it? I'd love to brainstorm some alternatives with you.",Claude,4,4,5,Tomer
Pushy Parents,"My parents think Iג€™m wasting time by pursuing my artistic career, but itג€™s what I love. How can I express that I donג€™t want to give up on my dreams just to make them happy?","Hey Mom and Dad, I know you're worried about my artistic career, but it's not just a phase - it's my passion and what I want to do with my life. Can we talk about how I plan to make this work?",Claude,3,2,5,Tomer
Break Up,"Iג€™ve been seeing this guy for a month, but I donג€™t feel emotionally connected. Can you help me break up without being harsh?","Hey [His Name], I’ve really enjoyed getting to know you over the past month, and I appreciate the time we've spent together. However, after some reflection, I feel that I’m not developing the emotional connection I was hoping for. I think it’s best for both of us to part ways now rather than continue without that deeper connection. I wish you all the best moving forward, and I truly appreciate your understanding.",GPT,2,4,5,Tomer
Break Up,"Iג€™ve been dating someone for a few weeks, but I feel like Iג€™m not emotionally invested. Can you help me break up kindly?","Hey, I hope you're doing well. There's something I wanted to chat about. I've enjoyed getting to know you, but I'm not feeling as invested as I think I should be. Can we meet up to talk?",Claude,4,3,3,Tomer
Disappointment Prompts,"I had a bad experience with a caterer for my event. They arrived late, the food was cold, and they ran out of drinks halfway through. How can I write a message to express my disappointment?","Hi, I'm writing about the catering for my recent event. There were several issues including late arrival, cold food, and insufficient drinks. Can we discuss this?",Claude,3,3,3,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I canג€™t be a part of my friendג€™s wedding party anymore. How do I tell them without causing tension?,"Hey [Friend's Name], I hope you’re doing well! I wanted to talk to you about something important. After some thought, I’ve realized that I won’t be able to be a part of the wedding party anymore. I’m really sorry for any inconvenience this may cause, and I hope you understand. I’ll still be there to support you on your special day!",GPT,3,3,4,Tomer
Confronting someone about a hygiene issue,"I have a roommate with a hygiene problem, and itג€™s affecting our living situation. How can I address this delicately?","Hey roomie, can we have a chat when you're free? There's something I wanted to discuss about our living situation. It's a bit awkward, but I think it's important for both of us.",Claude,4,2,3,Tomer
Disappointment Prompts,"Iג€™ve been going to the same salon for years, but my last haircut was really bad. The stylist cut my hair way shorter than I asked for, and she was distracted the whole time. How can I express my disappointment to the salon owner?","Hi, I hope this message finds you well. I wanted to discuss my recent haircut experience. Unfortunately, it didn't meet the usual standards I've come to expect. My hair was cut much shorter than requested, and the stylist seemed distracted. Can we chat about this?",Claude,2,4,3,Tomer
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are affecting our relationship. How can I say this kindly?,"Hey, can we talk about our plans? I've noticed we've been canceling a lot lately, and I wanted to check in about it.",Claude,4,2,3,Tomer
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hey, I wanted to talk to you about something that's been on my mind. Our friendship has meant a lot to me over the years, but lately, it doesn't feel like it used to. I think it might be time for us to go our separate ways. I value the good times we had, but I think it's best for both of us to move on. I hope we can both find our peace and happiness separately. Take care.",Friends RAG,3,4,5,Tomer
Turning down a family or cultural expectation,"Iג€™m expected to follow a cultural path I donג€™t agree with, and I need to tell my family. How can I express this without causing offense?","
Hey [Family Member's Name], I really appreciate everything you’ve done for me and the values you’ve shared. I want to talk about my own path, as I feel strongly about pursuing a different direction that may not align with our cultural expectations. I hope you can understand my perspective, and I value your support as I navigate this decision.",GPT,2,3,3,Tomer
Telling a roommate they need to move out,"Iג€™ve decided I want my roommate to move out, but I donג€™t want to create conflict. How can I tell them this politely?","Hey, can we have a chat when you're free? I wanted to discuss our living situation. I've been thinking, and I feel it might be best if we lived separately. Let me know when's a good time to talk more about this.",Claude,4,4,3,Tomer
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"""Hey, I wanted to talk to you about the business opportunity you offered. I've thought about it a lot, and I don't think it's the right fit for me. I appreciate you thinking of me, and I value our friendship, so I wanted to be honest. I hope you understand, and that we can keep our friendship intact.""",Friends RAG,3,4,4,Tomer
Service Cancellation Prompts,"Iג€™ve been going to the same tailor, but I want to try a new one. Can you help me write a polite message to let them know Iג€™m switching?","Hi [Tailor's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to try a new tailor, so I won’t be coming in anymore. I really appreciate all the great work you've done for me. Thank you so much!",GPT,4,3,4,Tomer
Confronting a family member about overstepping boundaries,"A family member keeps interfering in my decisions, and I need to ask them to stop. How can I do this without causing family drama?","Hey [Family Member's Name], I really appreciate that you care so much about me and want what’s best for me. Lately, though, I’ve been feeling like I need a bit more space to make my own decisions. It’s important to me to figure some things out on my own, and I hope you can understand that. I’d love to keep you in the loop about what’s going on when I’m ready, but I need to find my way with some of these choices. Thanks so much for understanding.",GPT,4,5,5,Tomer
Service Cancellation Prompts,"Iג€™ve been seeing the same massage therapist for a while, but Iג€™ve decided to try a new one. How can I kindly let them know I wonג€™t be scheduling more sessions?","Hey [Therapist's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to try a new massage therapist, so I won’t be scheduling any more sessions. I really appreciate all the great work you’ve done for me. Thank you!",GPT,3,3,5,Tomer
Informing someone that their gift wasnג€™t well-received,"A friend keeps giving me gifts that arenג€™t my style, and I want to let them know. How can I do this without hurting their feelings?","Hey [Friend's Name], I really appreciate all the thoughtful gifts you’ve been giving me! You’re so kind. I wanted to mention that some of the items aren’t really my style. I love your thoughtfulness, and I hope you understand!",GPT,3,4,5,Tomer
Asking a neighbor to stop being too loud,I need to ask my neighbors to tone down their noise during quiet hours. How can I phrase this kindly?,"Hey, I wanted to talk to you about something. I know we're neighbors, and we've probably both had our fair share of noise complaints, but I wanted to kindly ask you to keep it down during quiet hours. I'm sure you understand that we all need our rest, and the noise can be a bit disruptive. Thanks, and I hope we can work together to keep the peace! נ˜",Friends RAG,2,4,3,Tomer
Ending a long-term friendship,Iג€™ve outgrown a friendship and want to end it. How can I explain this without hurting them too much?,"Hey [Friend's Name], I’ve been doing a lot of thinking lately, and I feel like we’ve grown in different directions over time. It’s never easy to say this, but I think it might be best for both of us if we take some space and focus on our own paths. I’ll always appreciate the good times we’ve shared and wish you nothing but the best moving forward.",GPT,2,4,4,Tomer
Telling a roommate they need to move out,I need more space and want to ask my roommate to move out. How do I do this without causing tension?,"Hey [Roommate's Name], I’ve been thinking a lot about our living situation, and I realized that I need a bit more space for myself right now. It’s not an easy thing to bring up, but I think it might be best if I start looking for a new arrangement where I can have some more room. I want to make this transition as smooth as possible for both of us, so let’s talk about a timeline that works for you. I really appreciate your understanding, and I’m happy to help in any way I can.",GPT,4,3,4,Tomer
